,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp(°F),Wind Speed(mph)
0,Padang,32,ID,2018-09-29 21:46:36,100,-0.92,100.36,79.46,5.41
1,Sandnessjoen,92,NO,2018-09-29 21:20:00,87,66.02,12.63,46.4,13.87
2,Port Alfred,0,ZA,2018-09-29 21:46:39,83,-33.59,26.89,65.78,20.51
3,Quelimane,40,MZ,2018-09-29 21:00:00,78,-17.88,36.89,78.8,10.29
4,Esperance,20,TT,2018-09-29 21:00:00,88,10.24,-61.45,78.8,6.53
5,Prince Rupert,1,CA,2018-09-29 21:00:00,34,54.32,-130.32,53.6,5.82
6,Punta Arenas,75,CL,2018-09-29 21:00:00,64,-53.16,-70.91,35.6,14.99
7,Kruisfontein,0,ZA,2018-09-29 21:46:45,79,-34.0,24.73,62.0,13.47
8,Gao,68,ML,2018-09-29 21:46:47,57,16.28,-0.04,78.38,4.85
9,Saint-Francois,0,FR,2018-09-29 21:30:00,100,46.42,3.91,42.8,1.12
10,Thompson,75,CA,2018-09-29 21:00:00,79,55.74,-97.86,28.4,8.05
11,Albany,1,US,2018-09-29 20:54:00,82,42.65,-73.75,50.0,2.17
12,Gdynia,0,PL,2018-09-29 21:30:00,80,54.52,18.54,41.0,6.93
13,Nome,90,US,2018-09-29 21:15:00,89,30.04,-94.42,75.92,5.82
14,Busselton,0,AU,2018-09-29 21:46:55,88,-33.64,115.35,65.78,23.76
15,Hobart,40,AU,2018-09-29 21:00:00,34,-42.88,147.33,66.2,12.75
16,Atuona,88,PF,2018-09-29 21:46:57,100,-9.8,-139.03,79.46,9.44
17,Richards Bay,32,ZA,2018-09-29 21:46:58,88,-28.77,32.06,65.24,5.41
18,Yumen,0,CN,2018-09-29 21:47:00,31,40.29,97.04,63.08,8.99
19,Tianjin,75,CN,2018-09-29 21:00:00,22,39.12,117.2,68.0,22.37
20,Ostrov,92,RU,2018-09-29 21:00:00,75,57.34,28.36,44.6,13.42
21,Quthing,0,LS,2018-09-29 21:47:04,52,-30.4,27.7,53.99,3.96
22,Lebu,0,ET,2018-09-29 21:00:00,58,8.96,38.73,59.0,6.93
23,Hilo,20,US,2018-09-29 20:56:00,84,19.71,-155.08,80.06,8.05
24,Isiolo,0,KE,2018-09-29 21:47:08,71,0.35,37.58,71.99,5.41
25,Cape Town,0,ZA,2018-09-29 21:00:00,87,-33.93,18.42,48.2,6.93
26,Mataura,64,NZ,2018-09-29 21:47:10,81,-46.19,168.86,54.98,4.85
27,Bredasdorp,8,ZA,2018-09-29 21:00:00,93,-34.53,20.04,50.0,5.82
28,Baft,0,IR,2018-09-29 21:47:13,17,29.23,56.61,68.93,2.73
29,Rikitea,92,PF,2018-09-29 21:47:14,100,-23.12,-134.97,72.98,11.79
30,Saint-Joseph,0,FR,2018-09-29 21:30:00,71,43.56,6.97,66.2,4.7
31,Hermosillo,40,MX,2018-09-29 20:48:00,70,29.09,-110.96,84.2,3.36
32,Cidreira,36,BR,2018-09-29 21:47:18,77,-30.17,-50.22,71.72,11.01
